1,pName,groupName,pPrice, pDesc,imgSrc,pOption,pActive, pRemark,spicy,ingredient,sauce-type,decorate,dish-type
70,Pla Muck Pad Kra Prow,SEAFOOD,12.75,Sliced squid sauteed with onions; mushrooms; carrots; bell peppers; green onions; and basil,SF5.jpg,,1,,3,i0001001111000000000000000000000010000,garlic sauce,,o1
71,Goong Priew Whan,SEAFOOD,12.75,Shrimp; pineapple; snow peas; tomatoes mushrooms; carrots; onions; and bell peppers in a sweet & sour sauce,SF6.jpg,,1,,,i0011011110000100000000000000000000000,sweet & sour,,o1
72,Yum Talay,SEAFOOD,15.75,Scallops; squid; shrimp drenched in chili oil and lime juice with onions; carrots; cilantro; scallions; cucumbers; tomatoes on a bed of lettuce,SF7.jpg,,1,,3,i0000000000000110100000110000000000000,spicy and sour,,o1
73,Pad Mung savirat,VEGETARIAN,8.75,Stir-fried tofu with carrots; bell peppers; onions; green onions; mushrooms; baby corn; snow peas; and broccoli in a hot garlic sauce.,R1.jpg,,1,,1,i0111001111100000000000000000000000000,garlic sauce,with tofu,o1
74,Pad Pak,VEGETARIAN,8.75,carrots; bell peppers; onions; green onions; mushrooms; baby corn; snow peas; and broccoli sauteed in garlic garlic sauce.,R1.jpg,,1,,,i0111001111100000000000000000000000000,garlic sauce,,o1
75,Tao Hoo Prik khing,VEGETARIAN,8.75,Stir-fried tofu with carrots; green beans; onions; julienned kaffir lime leaves; and chili paste.,R1.jpg,,1,,1,i0000001100000000000000000000000100000,chili paste & Soy bean sauce,,o1
76,Gang Dang Tao Hoo,VEGETARIAN,8.75,Tofu with bamboo shoots; green peas and basil in red Thai curry.,R1.jpg,,1,,2,i0000100000000000000100000000000000000,Kang Dang & Coconut/milk,,b2
77,Sweet Sticky Rice and Mango (Seasonal),SWEET,4.75,Sweet Sticky Rice and Mango (Seasonal),SW1.jpg,,1,,,i0000000000000000000000000000000000000,,,c3
78,Sweet Sticky Rice and Custard,SWEET,3.75,Sweet Sticky Rice and Custard,SW2.jpg,,1,,,i0000000000000000000000000000000000000,,,c3
79,Coconut Cake,SWEET,3.75,Coconut Cake,SW3.jpg,,1,,,i0000000000000000000000000000000000000,,,c3
80,Fried Cheesecake,SWEET,4.75,Fried Cheesecake,SW4.jpg,,1,,,i0000000000000000000000000000000000000,,,c3
81,Flan (Caramel Custard),SWEET,5.25,Flan (Caramel Custard),SW5.jpg,,1,,,i0000000000000000000000000000000000000,,,c3
